Course Name,Instructor,Days,Class Time,Room,Subject,Course Number,Section,Attribute,CRN
FINANCIAL ACCOUNTING,"Behrend, Matthew J","['T', 'Th']",14:00 - 15:15,TRUS 303,ACCT,2301,1,EXCHANGE ELIGIBLE,40564
FINANCIAL ACCOUNTING,"Behrend, Matthew J","['T', 'Th']",11:00 - 12:15,TRUS 203,ACCT,2301,2,EXCHANGE ELIGIBLE,40565
MANAGERIAL ACCOUNTING,"Nketia, Joseph","['M', 'W', 'F']",11:00 - 11:50,TRUS 203,ACCT,2303,1,EXCHANGE ELIGIBLE,40566
MANAGERIAL ACCOUNTING,"Nketia, Joseph","['M', 'W', 'F']",12:00 - 12:50,TRUS 203,ACCT,2303,2,EXCHANGE ELIGIBLE,40567
INTERMEDIATE ACCOUNTING I,"Huff, Gary","['M', 'W']",17:00 - 18:15,TRUS 211,ACCT,3331,1,,40568
INTERMEDIATE ACCOUNTING I,"Lopez, Katherine Jami-Lenee","['T', 'Th']",09:30 - 10:45,MOOD 303,ACCT,3331,2,,40569
COST ACCOUNTING,"Nketia, Joseph","['M', 'W']",14:00 - 15:15,TRUS 215,ACCT,3333,1,,40570
AUDITING,"Tedesco, Fred","['M', 'W']",15:30 - 16:45,TRUS 216,ACCT,4343,1,,40571
ACCOUNTING INFORMATION SYSTEMS,"Behrend, Matthew J","['T', 'Th']",09:30 - 10:45,TRUS 205,ACCT,4346,1,,40572
ACCOUNTING INTERNSHIP,"Elley, Michelle Daley",[],,None None,ACCT,4350,1,INTERNSHIP,40573
RESEARCH IN ACCOUNTING,"Behrend, Matthew J",[],,None None,ACCT,4357,1,RESEARCH,40574
ACCOUNTING THEORY &amp; PRACTICE,,[],09:00 - 11:50,None None,ACCT,6309,1,,40542
ADVANCED ACCOUNTING PROBLEMS,"Allison, John Leslie",[],13:00 - 15:50,None None,ACCT,6310,1,,40543
ACCOUNTING FOR MANAGERS,"Gonzalez de la Fuente, Jesus Mario",[],13:00 - 15:50,None None,ACCT,6315,1,,40657
FINANCIAL STATEMENT ANALYSIS,"Xie, Jane Qian",[],13:00 - 15:50,TRUS 305,ACCT,6316,1,,40659
AUDITING,,[],09:00 - 11:50,None None,ACCT,6343,1,,40544
FOUNDATIONS IN ANIMATION,"Stern, Jeanne Ellen Ganung","['M', 'W']",14:30 - 16:20,LIBR 115,ANIM,3328,1,EXCHANGE ELIGIBLE,40272
COMPOSITING &amp; VISUAL EFFECTS,"Byrne, Bill","['M', 'W']",12:00 - 13:50,MOOD 301,ANIM,4335,1,EXCHANGE ELIGIBLE,40274
PRINCIPLES OF APPLIED BEHAVIOR ANALYSIS I,"Shpall, Cayenne Sarah",['W'],19:00 - 20:30,None None,EDBA,6301,1,,40062
PRINCIPLES OF APPLIED BEHAVIOR ANALYSIS I,"O&#39;Toole, Cyndi",['T'],19:00 - 20:30,None None,EDBA,6301,2,,40063
FOUNDATION-BEHAVIORAL ANALYSIS,"Shpall, Cayenne Sarah",['W'],19:00 - 20:30,None None,EDBA,6302,1,,40064
FOUNDATION-BEHAVIORAL ANALYSIS,"Shpall, Cayenne Sarah",['T'],19:00 - 20:30,None None,EDBA,6302,2,,40065
CHILD DEVELOPMENT: A BEHAVIORAL SYSTEMS APPROACH,"O&#39;Toole, Cyndi",['W'],19:00 - 20:30,None None,EDBA,6309,1,,40066
CHILD DEVELOPMENT: A BEHAVIORAL SYSTEMS APPROACH,"O&#39;Toole, Cyndi",['T'],19:00 - 20:30,None None,EDBA,6309,2,,40067
FUNCTIONAL BEHAVIOR ASSESSMENT,"O&#39;Toole, Cyndi",['Th'],19:00 - 20:30,None None,EDBA,6314,1,,40068
DEVELOPMENT OF APPLIED BEHAVIORAL ANALYSIS INTERVENTION PROGRAMS,"Oshinski, Molly",['Th'],19:00 - 20:30,None None,EDBA,6315,1,,40069
ORGANIZATIONAL BEHAVIOR MANAGEMENT,"Watson, Jacob Ray",['W'],19:00 - 20:30,None None,EDBA,6316,1,,40070
ORGANIZATIONAL BEHAVIOR MANAGEMENT,"Watson, Jacob Ray",['T'],19:00 - 20:30,None None,EDBA,6316,2,,40071
FOUNDATION ART &amp; DESIGN,"Phan, Tuan Duc","['T', 'Th']",12:30 - 14:20,ARTS 113,ARTS,1311,1,EXCHANGE ELIGIBLE,40275
FOUNDATION DRAWING,"Lai, Renee Hoi Yee","['M', 'W']",09:00 - 10:50,ARTS 114,ARTS,1316,1,EXCHANGE ELIGIBLE,40276
FOUNDATION DRAWING,"Haughey, Donald J.","['M', 'W']",11:00 - 12:50,ARTS 114,ARTS,1316,2,EXCHANGE ELIGIBLE,40277
FOUNDATION DRAWING,"Arzac, Sergio Arturo","['M', 'W']",15:00 - 16:50,ARTS 114,ARTS,1316,3,GE CREATIVITY AND MAKING,40278
FOUNDATION DRAWING,"Arzac, Sergio Arturo","['M', 'W']",17:00 - 18:50,ARTS 114,ARTS,1316,4,EXCHANGE ELIGIBLE,40279
FOUNDATION DRAWING,"Fagan, Sarah Emily","['M', 'W']",13:00 - 14:50,ARTS 114,ARTS,1316,5,EXCHANGE ELIGIBLE,40280
CLAY: HANDBUILDING,"Hassin, Jennifer","['M', 'W']",12:00 - 13:50,ARTS 116,ARTS,1318,1,EXCHANGE ELIGIBLE,40281
CLAY: HANDBUILDING,"Hassin, Jennifer","['M', 'W']",14:30 - 16:20,ARTS 116,ARTS,1318,2,EXCHANGE ELIGIBLE,40282
ART HISTORY I,"Brantl, Mary K.","['M', 'W', 'F']",09:00 - 09:50,MOOD 208,ARTS,2303,1,EXCHANGE ELIGIBLE,40283
ARTISTIC PASTS &amp; THEIR USES,"Brantl, Mary K.","['T', 'Th']",14:00 - 15:15,MOOD 208,ARTS,2308,1,EXCHANGE ELIGIBLE,40285
MODERNISTS &amp; OTHERS,"Brantl, Mary K.","['M', 'W', 'F']",11:00 - 11:50,MOOD 208,ARTS,2322,1,EXCHANGE ELIGIBLE,40286
SCULPTURE: MATERIALS,"Hassin, Jennifer","['T', 'Th']",12:30 - 14:50,ARTS 116,ARTS,2326,1,EXCHANGE ELIGIBLE,40539
DRAWING: METHODS,"Robinson, Alexandra","['T', 'Th']",09:00 - 11:20,ARTS 114,ARTS,2332,1,EXCHANGE ELIGIBLE,40540
CLAY: WHEEL THROWING,"Moseley, Britt","['T', 'Th']",09:00 - 10:50,ARTS 116,ARTS,2347,1,EXCHANGE ELIGIBLE,40287
WATERCOLOR,"Stone, Michael Clinton","['M', 'W']",14:30 - 16:20,ARTS 113,ARTS,2366,1,EXCHANGE ELIGIBLE,40288
INTRODUCTION TO PHOTOGRAPHY,"Miller, Sybil A.","['T', 'Th']",09:30 - 10:45,None None,ARTS,2399,1,EXCHANGE ELIGIBLE,40289
DIGITAL ART,"Stern, Jeanne Ellen Ganung","['M', 'W']",17:00 - 18:15,LIBR 115,ARTS,2399,2,EXCHANGE ELIGIBLE,40290
DISCOVERING DESIGN,"Lievens, Robert Daniel","['T', 'Th']",11:00 - 12:15,TRUS 108,ARTS,2399,4,EXCHANGE ELIGIBLE,40292
TEXTILE ART,"Pencevova, Margita T.","['T', 'Th']",15:30 - 16:45,None None,ARTS,2399,5,EXCHANGE ELIGIBLE,40293
INTRODUCTION TO PHOTOGRAPHY,"Miller, Sybil A.","['T', 'Th']",11:00 - 12:15,None None,ARTS,2399,6,EXCHANGE ELIGIBLE,40294
VISUAL JOURNALING,"Rebholz, Matt","['M', 'W']",15:30 - 16:45,HOLY 402,ARTS,2399,7,EXCHANGE ELIGIBLE,40295
VISUAL JOURNALING,"Rebholz, Matt","['M', 'W']",14:00 - 15:15,HOLY 402,ARTS,2399,8,EXCHANGE ELIGIBLE,40296
DIGITAL ART,"Thrasher, Jill","['T', 'Th']",12:30 - 13:45,ARTS 121,ARTS,2399,9,EXCHANGE ELIGIBLE,40297
COLOR &amp; CREATIVE APPLICATION,"Massey, Michael C.","['T', 'Th']",15:30 - 16:45,ARTS 113,ARTS,2399,10,EXCHANGE ELIGIBLE,40298
FIGURATION,"Lai, Renee Hoi Yee","['T', 'Th']",12:30 - 14:50,ARTS 114,ARTS,3336,1,EXCHANGE ELIGIBLE,40299
FIGURATION,"Lai, Renee Hoi Yee","['T', 'Th']",15:30 - 17:50,ARTS 114,ARTS,3336,2,EXCHANGE ELIGIBLE,40300
LABOR THROUGH THE ARTIST&#39;S LENS,"Brantl, Mary K.","['T', 'Th']",11:00 - 12:15,MOOD 208,ARTS,3349,1,GE EXPLORING ARTISTIC WORKS,40301
SCREENPRINTING,"Rebholz, Matt","['M', 'W']",17:00 - 18:50,ARTS 110,ARTS,3399,1,EXCHANGE ELIGIBLE,40302
ADVANCED CLAY,"Hassin, Jennifer",[],,None None,ARTS,4344,1,REPEATABLE FOR DEGREE CREDIT,40303
INTERNSHIP IN ART,"Lievens, Robert Daniel",['F'],11:00 - 11:50,None None,ARTS,4350,1,EXCHANGE ELIGIBLE,40304
INTRODUCTION TO ASTRONOMY,"Baumann, Mark Chapple","['T', 'Th']",11:00 - 12:15,JBWS 362,ASTR,1310,1,EXCHANGE ELIGIBLE,40660
LEARNING &amp; COGNITION,"Goldey, Katherine Luciana","['M', 'W', 'F']",11:00 - 11:50,TRUS 113,NEUR,4343,1,,40133
BEHAVIORAL NEUROSCIENCE,"Barton, Emily","['T', 'Th']",11:00 - 12:15,MOOD 307,NEUR,4442,1,,40134
GENERAL BIOLOGY I LAB,"DeWhatley, Megan Christine",['M'],14:00 - 16:50,JBWN 222,BIOL,1107,1,EXCHANGE ELIGIBLE,40662
GENERAL BIOLOGY I LAB,,['M'],14:00 - 16:50,JBWN 226,BIOL,1107,2,EXCHANGE ELIGIBLE,40663
GENERAL BIOLOGY I LAB,"Green, Michelle",['M'],14:00 - 16:50,JBWS 261,BIOL,1107,3,EXCHANGE ELIGIBLE,40664
GENERAL BIOLOGY I LAB,,['T'],14:00 - 16:50,JBWN 222,BIOL,1107,4,EXCHANGE ELIGIBLE,40665
GENERAL BIOLOGY I LAB,,['T'],14:00 - 16:50,JBWN 226,BIOL,1107,5,EXCHANGE ELIGIBLE,40666
GENERAL BIOLOGY I LAB,"DeWhatley, Megan Christine",['W'],14:00 - 16:50,JBWN 222,BIOL,1107,6,EXCHANGE ELIGIBLE,40667
GENERAL BIOLOGY I LAB,"Green, Michelle",['W'],14:00 - 16:50,JBWN 226,BIOL,1107,7,EXCHANGE ELIGIBLE,40668
GENERAL BIOLOGY I LAB,,['Th'],14:00 - 16:50,JBWN 222,BIOL,1107,8,EXCHANGE ELIGIBLE,40669
GENERAL BIOLOGY I LAB,,['Th'],14:00 - 16:50,JBWN 226,BIOL,1107,9,EXCHANGE ELIGIBLE,40670
GENERAL BIOLOGY I,"Hauser, Charles R.","['M', 'W', 'F']",09:00 - 09:50,JBWN 202,BIOL,1307,1,EXCHANGE ELIGIBLE,40671
GENERAL BIOLOGY I,"Green, Michelle","['M', 'W', 'F']",10:00 - 10:50,JBWN 202,BIOL,1307,2,EXCHANGE ELIGIBLE,40672
GENERAL BIOLOGY I,"Green, Michelle","['M', 'W', 'F']",11:00 - 11:50,JBWN 202,BIOL,1307,3,EXCHANGE ELIGIBLE,40673
GENERAL BIOLOGY I,"Ledesma, David Trevino","['M', 'W', 'F']",12:00 - 12:50,JBWN 202,BIOL,1307,4,EXCHANGE ELIGIBLE,40674
GENERAL BIOLOGY I,"Green, Michelle","['M', 'W', 'F']",13:00 - 13:50,JBWN 202,BIOL,1307,5,EXCHANGE ELIGIBLE,40675
GENERAL BIOLOGY I,"DeWhatley, Megan Christine","['T', 'Th']",09:30 - 10:45,JBWN 202,BIOL,1307,6,EXCHANGE ELIGIBLE,40676
GENERAL BIOLOGY I,"Hauser, Charles R.","['T', 'Th']",11:00 - 12:15,JBWN 202,BIOL,1307,7,EXCHANGE ELIGIBLE,40677
GENERAL BIOLOGY I,"Hauser, Charles R.","['M', 'W']",14:00 - 15:15,JBWN 202,BIOL,1307,8,EXCHANGE ELIGIBLE,40678
NUTRITION,"Anthony, Mark John",[],,None None,BIOL,1322,1,EXCHANGE ELIGIBLE,40679
NUTRITION,"Anthony, Mark John",[],,None None,BIOL,1322,2,EXCHANGE ELIGIBLE,40680
NUTRITION,"Anthony, Mark John",[],,None None,BIOL,1322,3,EXCHANGE ELIGIBLE,40681
ANATOMY &amp; PHYSIOLOGY I LAB,"Row, Kristopher",['M'],14:00 - 16:50,JBWS 265,BIOL,2001,1,,40682
ANATOMY &amp; PHYSIOLOGY I LAB,,['T'],14:00 - 16:50,JBWS 265,BIOL,2001,2,,40683
ANATOMY &amp; PHYSIOLOGY I LAB,,['W'],14:00 - 16:50,JBWS 265,BIOL,2001,3,,40684
ANATOMY &amp; PHYSIOLOGY I LAB,,['Th'],14:00 - 16:50,JBWS 265,BIOL,2001,4,,40685
BIOLOGIC,"Bell, Balyssa Bridget",['T'],16:00 - 16:50,JBWN 202,BIOL,2113,1,,40686
BIOLOGIC,"Bell, Balyssa Bridget",['T'],17:00 - 17:50,JBWN 202,BIOL,2113,2,,40687
HUMAN PHYSIOLOGY LAB,"Wostl, Elijah",['T'],14:00 - 16:50,JBWN 243,BIOL,2135,1,RESEARCH,40688
HUMAN PHYSIOLOGY LAB,"Wostl, Elijah",['W'],14:00 - 16:50,JBWN 243,BIOL,2135,2,RESEARCH,40689
EPIDEMIOLOGY,"Baynham, Patricia","['M', 'W', 'F']",10:00 - 10:50,MOOD 206,BIOL,2330,1,GE GLOBAL PERSPECTIVES,40690
EPIDEMIOLOGY,"Baynham, Patricia","['M', 'W', 'F']",11:00 - 11:50,MOOD 206,BIOL,2330,2,GE GLOBAL PERSPECTIVES,40691
MOLECULAR GENETICS,"Goering, Lisa M.","['M', 'W', 'F']",08:00 - 08:50,MOOD 204,BIOL,2334,1,,40692
MOLECULAR GENETICS,"Goering, Lisa M.","['M', 'W', 'F']",09:00 - 09:50,MOOD 204,BIOL,2334,2,,40693
HUMAN PHYSIOLOGY,"Wostl, Elijah","['T', 'Th']",08:00 - 09:15,JBWN 202,BIOL,2335,1,,40694
ANATOMY &amp; PHYSIOLOGY I,"Ortiz, Alexis","['M', 'W', 'F']",12:00 - 12:50,JBWS 361,BIOL,2401,1,,40695
ANATOMY &amp; PHYSIOLOGY I,,"['M', 'W', 'F']",13:00 - 13:50,MOOD 204,BIOL,2401,2,,40696
ANATOMY &amp; PHYSIOLOGY I,"Row, Kristopher","['T', 'Th']",09:30 - 10:45,MOOD 304,BIOL,2401,3,,40697
ENTOMOLOGY,"Steffenson, Matthew M","['M', 'W', 'F']",09:00 - 09:50,JBWN 204,BIOL,2420,1,TRAVEL-DOMESTIC,40698
ECOLOGY &amp; GLOBAL CHANGE,"Ledesma, David Trevino","['T', 'Th']",09:30 - 10:45,JBWN 204,BIOL,2423,1,EXCHANGE ELIGIBLE,40699
MICROBIOLOGY LAB,"Edwards, Meredith",['T'],14:00 - 16:50,JBWN 141,BIOL,3139,1,ZERO-COST COURSE MATERIALS,40700
MICROBIOLOGY LAB,"Edwards, Meredith",['W'],14:00 - 16:50,JBWN 141,BIOL,3139,2,ZERO-COST COURSE MATERIALS,40701
FANH LEADERSHIP,"Steffenson, Matthew M",['F'],14:00 - 14:50,JBWN 204,BIOL,3145,1,REPEATABLE FOR DEGREE CREDIT,40702
HUMAN GENETICS,"Goering, Lisa M.","['T', 'Th']",14:00 - 15:15,JBWN 202,BIOL,3316,1,,40703
BIOSTATISTICS,"Row, Kristopher","['T', 'Th']",14:00 - 15:15,JBWN 206,BIOL,3321,1,,40895
IMMUNOLOGY,,"['T', 'Th']",08:00 - 09:15,JBWN 204,BIOL,3332,1,,40704
MICROBIOLOGY,"Edwards, Meredith","['M', 'W', 'F']",12:00 - 12:50,MOOD 302,BIOL,3339,1,,40705
NEUROSCIENCE,"Bell, Balyssa Bridget","['M', 'W', 'F']",12:00 - 12:50,MOOD 204,BIOL,3343,1,,40706
GEOGRAPHIC INFORMATION SYSTEMS,"Johnson, Christopher Eric","['M', 'W']",17:00 - 18:15,JBWS 268,BIOL,3353,1,,40707
CELL BIOLOGY LAB,"Bell, Balyssa Bridget",['W'],14:00 - 16:50,JBWN 122,BIOL,4037,1,,40708
CELL BIOLOGY LAB,"Hauser, Charles R.",['Th'],14:00 - 16:50,JBWN 122,BIOL,4037,2,,40709
RESEARCH IN BIOLOGY,"Baynham, Patricia",[],,None None,BIOL,4157,1,INTERNSHIP,40710
RESEARCH IN BIOLOGY,"Edwards, Meredith",[],,None None,BIOL,4157,2,INTERNSHIP,40711
RESEARCH IN BIOLOGY,"Goering, Lisa M.",[],,None None,BIOL,4157,3,INTERNSHIP,40712
RESEARCH IN BIOLOGY,"Holgado, Andrea",[],,None None,BIOL,4157,4,INTERNSHIP,40713
RESEARCH IN BIOLOGY,"Steffenson, Matthew M",[],,None None,BIOL,4157,5,INTERNSHIP,40714
RESEARCH IN BIOLOGY,"Wostl, Elijah",[],,None None,BIOL,4157,6,INTERNSHIP,40715
RESEARCH IN BIOLOGY,"Ledesma, David Trevino",[],,None None,BIOL,4157,7,INTERNSHIP,40716
CULMINATING EXPERIENCE IN BIOLOGICAL SCIENCES,"Goering, Lisa M.",['Th'],16:00 - 16:50,JBWN 202,BIOL,4167,1,,40717
EVOLUTION,"Row, Kristopher","['T', 'Th']",08:00 - 09:15,MOOD 304,BIOL,4344,1,GE MM WRITING RICH - UPPER,40718
CELL BIOLOGY,"Bell, Balyssa Bridget","['M', 'W', 'F']",13:00 - 13:50,JBWS 361,BIOL,4437,1,RESEARCH,40719
INTRODUCTION TO BUSINESS,"Altolemy, Nayera I","['M', 'W']",14:00 - 15:15,TRUS 104,BUSI,1301,1,EXCHANGE ELIGIBLE,40579
INTRODUCTION TO BUSINESS,"Lorenz, Thomas","['T', 'Th']",14:00 - 15:15,TRUS 203,BUSI,1301,2,EXCHANGE ELIGIBLE,40580
INTRODUCTION TO BUSINESS,"Lorenz, Thomas","['T', 'Th']",15:30 - 16:45,TRUS 203,BUSI,1301,3,EXCHANGE ELIGIBLE,40581
EXCEL SKILLS FOR BUSINESS,"Bozeman, Kesha","['M', 'W', 'F']",09:00 - 09:50,TRUS 205,BUSI,1315,1,,40582
EXCEL SKILLS FOR BUSINESS,"Bozeman, Kesha","['M', 'W', 'F']",10:00 - 10:50,TRUS 205,BUSI,1315,2,,40583
EXCEL SKILLS FOR BUSINESS,"Bozeman, Kesha","['M', 'W', 'F']",11:00 - 11:50,TRUS 205,BUSI,1315,3,,40584
EXCEL SKILLS FOR BUSINESS,"Altolemy, Nayera I","['M', 'W', 'F']",12:00 - 12:50,TRUS 205,BUSI,1315,4,,40585
BUSINESS LAW,,"['M', 'W']",12:30 - 13:45,None None,BUSI,2303,1,EXCHANGE ELIGIBLE,40586
BUSINESS LAW,,"['T', 'Th']",15:30 - 16:45,TRUS 303,BUSI,2303,2,EXCHANGE ELIGIBLE,40587
BUSINESS LAW,,['W'],18:00 - 20:50,TRUS 216,BUSI,2303,3,EXCHANGE ELIGIBLE,40588
BUSINESS STATISTICS,,"['M', 'W']",14:00 - 15:15,TRUS 117,BUSI,2305,1,EXCHANGE ELIGIBLE,40589
BUSINESS STATISTICS,,"['T', 'Th']",12:30 - 13:45,TRUS 104,BUSI,2305,2,EXCHANGE ELIGIBLE,40590
BUSINESS AND PROFESSIONAL SPEAKING,"Ortiz, Lorelei A.","['T', 'Th']",15:30 - 16:45,TRUS 214,BUSI,2321,1,EXCHANGE ELIGIBLE,40591
SPECIAL TOPICS IN BUSINESS ADMINISTRATION,"Tedesco, Fred",['W'],13:00 - 13:50,TRUS 211,BUSI,3199,1,REPEATABLE FOR DEGREE CREDIT,40592
PROJECT MANAGEMENT,"Brunner, Frances Inez","['T', 'Th']",17:00 - 18:15,TRUS 303,BUSI,3326,1,,40593
SOCIAL RESPONSIBILITY OF BUSINESS,,"['M', 'W']",14:00 - 15:15,TRUS 112,BUSI,3328,1,GE MM EXP LEARNING SOC JUSTICE,40594
SOCIAL RESPONSIBILITY OF BUSINESS,"Wilburn, Kathleen M.","['T', 'Th']",14:00 - 15:15,TRUS 215,BUSI,3328,2,GE MM EXP LEARNING SOC JUSTICE,40595
SOCIAL RESPONSIBILITY OF BUSINESS,"Wilburn, Kathleen M.","['T', 'Th']",15:30 - 16:45,TRUS 215,BUSI,3328,3,GE MM EXP LEARNING SOC JUSTICE,40596
SOCIAL RESPONSIBILITY OF BUSINESS,"Shin, Natalie Jungyoun",['M'],18:30 - 21:20,None None,BUSI,3328,4,GE MM EXP LEARNING SOC JUSTICE,40597
BUSINESS COMMUNICATION,,['Th'],18:30 - 21:20,None None,BUSI,3330,1,GE MM WRITING RICH - UPPER,40598
BUSINESS COMMUNICATION,"England, Natalie Jo","['T', 'Th']",14:00 - 15:15,TRUS 113,BUSI,3330,2,GE MM WRITING RICH - UPPER,40599
BUSINESS COMMUNICATION,"England, Natalie Jo","['T', 'Th']",15:30 - 16:45,TRUS 113,BUSI,3330,3,GE MM WRITING RICH - UPPER,40600
BUSINESS COMMUNICATION,"Campbell, George Michael","['M', 'W']",14:00 - 15:15,TRUS 214,BUSI,3330,4,GE MM WRITING RICH - UPPER,40601
BUSINESS COMMUNICATION,,"['M', 'W']",15:30 - 16:45,TRUS 104,BUSI,3330,5,GE MM WRITING RICH - UPPER,40602
BUSINESS INTELLIGENCE,"Firouzi, Fatemeh","['T', 'Th']",09:30 - 10:45,TRUS 117,BUSI,3333,1,EXCHANGE ELIGIBLE,40603
BUSINESS INTELLIGENCE,"Firouzi, Fatemeh","['T', 'Th']",11:00 - 12:15,TRUS 117,BUSI,3333,2,EXCHANGE ELIGIBLE,40604
BUSINESS INTELLIGENCE,"Firouzi, Fatemeh","['T', 'Th']",12:30 - 13:45,TRUS 117,BUSI,3333,3,,40605
INTERNSHIP IN BUSINESS ADMIN,"Ortiz, Lorelei A.",[],,None None,BUSI,3385,1,INTERNSHIP,40606
INTERNSHIP IN BUSINESS ADMIN,"Dunn, Mary Bowker",[],,None None,BUSI,3385,2,INTERNSHIP,40607
STRATEGIC MANAGEMENT CAPSTONE,"Amini Sedeh, Amirmahmood","['T', 'Th']",11:00 - 12:15,TRUS 205,BUSI,4349,1,GE MM WRITING RICH - UPPER,40608
STRATEGIC MANAGEMENT CAPSTONE,"Lorenz, Thomas","['T', 'Th']",09:30 - 10:45,TRUS 203,BUSI,4349,2,GE MM WRITING RICH - UPPER,40609
STRATEGIC BUSINESS ANALYSIS AND PRACTICE,"Brish, Arie","['T', 'Th']",14:00 - 15:15,TRUS 116,BUSI,4388,1,,40610
